1. 風量 | Air volume
2. 型式 | Model
3. 電源 | Power supply
4. 能量 | Capacity
5. 空氣側參考進風溫度 | Refer air-side inlet temp
6. 空氣側降壓 | Air-side pressure drop
7. 水側流量 | Water flow rate
8. 降壓 | Pressure drop
9. 進水溫度 | Inlet water temp
10. 出水溫度 | Outlet water temp
11. 啟動方式 | Starting method
12. 台數 | Number of
13. 輸出功率 | Output power
14. 耗電量 | Power consumption
15. 過濾網型式 | Filter type
16. 參考全壓 | Reference total pressure
17. 最大轉速 | Maximum fan speed
18. 風機外靜壓 | External static pressure
19. 回風度 | Return air volume
20. 風機效率 | Fan efficiency
21. 絞輪進風出風 | Inlet and outlet of the impeller
22. 初級過濾網 | Primary filter
23. 風機噪音 | Fan noise
24. 風機安裝型式 | Fan mounting type
25. 氣流 | Airflow
26. 馬達馬力 | Motor horsepower
27. 電壓 | Voltage
28. 頻率 | Frequency
29. 相數 | Phase
30. 效率 | Efficiency
31. 葉輪直徑 | Impeller diameter
32. 葉輪類型 | Impeller type
33. 驅動類型 | Driven type
34. 風道截面積 | Duct cross-sectional area
35. 風道尺寸 | Duct size
36. 風道材料 | Duct material
37. 風道阻力 | Duct resistance
38. 風道長度 | Duct length
39. 風道彎頭 | Duct elbow
40. 送風口 | Air outlet
41. 回風口 | Air inlet
42. 風閥類型 | Damper type
43. 風量調節方式 | Airflow adjustment method
44. 溫控方式 | Temperature control method
45. 濕度控制方式 | Humidity control method
46. 耗材清單 | Consumables list
47. 配件清單 | Accessories list
48. 維護說明 | Maintenance instructions
49. 保固條款 | Warranty terms
50. 安裝注意事項 | Installation precautions
1. 電源 | Power Source
2. 電壓 | V
3. 頻率 | Hz
4. 功率 | kW
5. 能耗 | CONSUMPTION
6. 外靜壓 | OUTSIDE STATIC FAN CONSUMPTION
7. 冷凍冷媒 | RDR1340
8. 保溫 | INSULATION
9. 厚度 | Thickness
10. 材質 | MATERIAL
11. 鋼 | SUS304
12. 保溫材料 | PE
13. 容量 | QTY.
14. 溫度 | TEMP.
15. 壓力 | PRESSURE
16. 進水溫度 | Inlet Water Temperature
17. 出水溫度 | Outlet Water Temperature
18. 風量 | AIRFLOW RATE
19. 風壓 | AIR PRESSURE
20. 風扇 | FAN
21. 風扇規格 | FAN SCHEDULE
22. 馬達 | MOTOR
23. 馬達數據 | MOTOR DATA
24. 線圈 | COIL
25. 線圈數據 | COIL DATA
26. 冷卻水量 | COOLINGW
27. 冰水 | COLD WATER
28. 冰水機 | CHILLER
29. 冰水機規格 | CHILLER SCHEDULE
30. 標號 | TAG NO.
31. 數量 | QUANTITY
32. 容量 | Coolin W
33. 標稱功率 | RATING
34. 實際功率 | POWER
35. 標準 | GHOST
36. 設計 | DESIGN
37. 類型 | TYPE
38. 外型 | FORM
39. 品牌 | BRAND
40. 型號 | MODEL
41. 產地 | ORIGIN
42. 保固 | WARRANTY
43. 認證 | CERTIFICATION
44. 安裝 | INSTALLATION
45. 維修 | MAINTENANCE
46. 保養 | SERVICE
47. 運行 | OPERATION
48. 故障 | FAILURE
49. 維修紀錄 | MAINTENANCE RECORD
50. 檢查 | INSPECTION
1. 空調細統 | AIR CONDITIONING SYSTEM
2. 冰水主機能源效率 | CHILLED WATER SYSTEM ENERGY EFFICIENCY
3. 冷氣機 | AIR CONDITIONER
4. 冷風機 | FAN COIL UNIT (FCU)
5. 冷永機室 | CHILLED WATER PLANT ROOM
6. 冷水機 | CHILLED WATER SYSTEM
7. 壓縮機 | COMPRESSOR
8. 冷永 | CHILLED WATER
11. 進風靜壓 | EXTERNAL STATIC PRESSURE (ESP)
12. 冷水進溫 | CHILLED WATER SUPPLY TEMPERATURE
13. 冷水出溫 | CHILLED WATER RETURN TEMPERATURE
14. 冷水機容量 | CHILLED WATER CAPACITY
17. 冰水器 | CHILLER
18. 露明式 | CASSETTE TYPE
19. 冷塔 | COOLING TOWER
20. 冷水塔 | RECTANGULAR COOLING TOWER
21. 水箱 | WATER TANK
22. 水化學處理 | CHEMICAL TREATMENT
23. 水質 | WATER QUALITY
24. 電源 | POWER SOURCE
25. 壓力 | PRESSURE
26. 砲浦 | PUMP
27. 電動閥 | MOTORIZED CONTROL VALVE
28. 流率 | FLOW RATE
1. 冷卻能力 | Cooling Capacity
2. 製冷劑 | Refrigerant
3. 能源效率比 | EER
4. 冷媒流量 | Refrigerant Flow
5. 冷凝器類型 | Condenser Type
6. 蒸發器類型 | Evaporator Type
7. 膨脹閥 | Expansion Valve
8. 乾燥濾網 | Filter Drier
9. 接水盤 | Drain Pan
10. 風扇馬達 | Fan Motor
11. 風鼓 | Blower
12. 出風口 | Air Outlet
13. 回風口 | Air Inlet
14. 濾網 | Filter
15. 控制面板 | Control Panel
16. 除濕功能 | Dehumidification
17. 定時器 | Timer
18. 睡眠模式 | Sleep Mode
19. 自動除霜 | Auto Defrost
20. 自我診斷 | Self-Diagnosis
21. 安裝管道 | Installation Piping
22. 安裝支架 | Installation Bracket
23. 操作手冊 | Operation Manual
24. 安裝說明書 | Installation Guide
25. 空調系統 | Air Conditioning System
26. 驅動頻率 | Drive Frequency
27. 冷凝水管徑 | Condenser Water Pipe Diameter
28. 冷卻塔 | Cooling Tower
29. 泵浦 | Pump
30. 換熱器 | Heat Exchanger
31. 殼管式冷凝器 | Shell and Tube Condenser
32. 雙管式蒸發器 | Double Pipe Evaporator
33. 儲水槽 | Reservoir Tank
34. 風機盤管 | Air Handling Unit
35. 風機盤管形式 | Air Handling Unit Type
36. 風管 | Ductwork
37. 風道 | Wind Tunnel
38. 風機 | Air Mover
39. 閥門 | Valve
40. 壓力開關 | Pressure Switch
41. 溫度控制器 | Temperature Controller
